,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated:  efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity
1,1.1685724258422852,1,0,0.1,50,1000,10000,1,1,2,321.363,213.327,-108.036,16.5,3519.9,3503.4,771.0,12074.05,12845.05,0.7732616875182227%,54.0%,54.0%,100.0%,0.0%,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%
6,1.1899549961090088,2,0,0.1,53,1000,10000,1,1,3,351.255,973.625,622.37,4.8,4673.4,4668.6,992.0,17263.8,18255.8,0.8038277252540716%,50.943%,50.943%,100.0%,0.0%,0.6906201780842602%,62.264%,62.264%,100.0%,0.0%
7,1.2833530902862549,2,1,0.1,53,1000,10000,1,1,2,351.255,17.504,-333.751,323.4,5660.8,5337.4,953.0,20174.9,21127.9,0.8792994233672792%,43.396%,43.396%,100.0%,0.0%,0.7849598007257698%,52.83%,52.83%,100.0%,0.0%
4,1.302980661392212,1,3,0.1,50,1000,10000,1,1,3,321.363,53.382,-267.981,98.4,5252.8,5154.4,1067.0,20914.0,21981.0,0.8332616875182226%,48.0%,48.0%,100.0%,0.0%,0.7332616875182226%,58.0%,58.0%,100.0%,0.0%
%
8,1.3143608570098877,2,2,0.1,53,1000,10000,1,1,2,351.255,55.065,-296.19,83.5,4597.9,4514.4,930.0,15461.3,16391.3,0.6906201780842602%,62.264%,62.264%,100.0%,0.0%,0.8415635743106754%,47.17%,47.17%,100.0%,0.0%
2,1.3516135215759277,1,1,0.1,50,1000,10000,1,1,2,321.363,209.845,-111.518,16.8,3525.4,3508.6,797.0,11487.4,12284.4,0.7732616875182227%,54.0%,54.0%,100.0%,0.0%,0.8732616875182226%,44.0%,44.0%,100.0%,0.0%
9,1.270230770111084,2,3,0.1,53,1000,10000,1,1,3,351.255,376.858,25.603,15.5,5841.3,5825.8,1187.0,18527.75,19714.75,0.8604314988389773%,45.283%,45.283%,100.0%,0.0%,0.8226956497823735%,49.057%,49.057%,100.0%,0.0%
3,1.37962007522583,1,2,0.1,50,1000,10000,1,1,3,321.363,17.28,-304.083,388.9,6720.3,6331.4,1194.0,22543.85,23737.85,0.7732616875182227%,54.0%,54.0%,100.0%,0.0%,0.8932616875182227%,42.0%,42.0%,100.0%,0.0%
11,1.1762654781341553,3,0,0.1,57,1000,10000,1,1,3,392.568,2644.238,2251.67,2.1,5552.9,5550.8,1070.0,20466.9,21536.9,0.839577476991907%,47.368%,47.368%,100.0%,0.0%,0.7167704594480473%,59.649%,59.649%,100.0%,0.0%
10,1.235278844833374,2,4,0.1,53,1000,10000,1,1,4,351.255,85.975,-265.28,73.2,6293.4,6220.2,1219.0,28742.3,29961.3,0.747223951669166%,56.604%,56.604%,100.0%,0.0%,0.8792994233672792%,43.396%,43.396%,100.0%,0.0%
12,1.1562614440917969,3,1,0.1,57,1000,10000,1,1,2,392.568,24.086,-368.482,214.7,5171.3,4956.6,1017.0,16573.65,17590.65,0.8220336173427842%,49.123%,49.123%,100.0%,0.0%,0.8044897576936614%,50.877%,50.877%,100.0%,0.0%
14,1.1552605628967285,3,3,0.1,57,1000,10000,1,1,2,392.568,69.926,-322.642,68.5,4789.9,4721.4,881.0,16738.65,17619.65,0.8044897576936613%,50.877%,50.877%,100.0%,0.0%,0.8220336173427841%,49.123%,49.123%,100.0%,0.0%
15,1.1972682476043701,3,4,0.1,57,1000,10000,1,1,3,392.568,75.049,-317.519,69.4,5208.4,5139.0,1053.0,19136.3,20189.3,0.6816827401498017%,63.158%,63.158%,100.0%,0.0%,0.6816827401498018%,63.158%,63.158%,100.0%,0.0%
13,1.2772889137268066,3,2,0.1,57,1000,10000,1,1,3,392.568,192.394,-200.174,20.8,4001.8,3981.0,878.0,16412.45,17290.45,0.8922090559392755%,42.105%,42.105%,100.0%,0.0%,0.7167704594480474%,59.649%,59.649%,100.0%,0.0%
17,1.2302765846252441,4,1,0.1,61,1000,10000,1,1,3,435.504,29.215,-406.289,251.1,7335.9,7084.8,1247.0,30859.8,32106.8,0.7230977530919931%,59.016%,59.016%,100.0%,0.0%,0.8050649662067472%,50.82%,50.82%,100.0%,0.0%
16,1.2922947406768799,4,0,0.1,61,1000,10000,1,1,3,435.504,13.943,-421.561,466.1,6498.7,6032.6,1099.0,27439.5,28538.5,0.8378518514526487%,47.541%,47.541%,100.0%,0.0%,0.7558846383378947%,55.738%,55.738%,100.0%,0.0%
18,1.2952933311462402,4,2,0.1,61,1000,10000,1,1,3,435.504,73.446,-362.058,95.6,7021.4,6925.8,1157.0,27441.2,28598.2,0.8050649662067472%,50.82%,50.82%,100.0%,0.0%,0.821458408829698%,49.18%,49.18%,100.0%,0.0%
20,1.0462360382080078,4,4,0.1,61,1000,10000,1,1,3,435.504,43.098,-392.406,132.2,5697.6,5565.4,1094.0,20859.95,21953.95,0.7558846383378948%,55.738%,55.738%,100.0%,0.0%,0.9526059498133046%,36.066%,36.066%,100.0%,0.0%
19,1.0932495594024658,4,3,0.1,61,1000,10000,1,1,2,435.504,27.895,-407.609,216.9,6050.5,5833.6,966.0,21771.05,22737.05,0.8050649662067472%,50.82%,50.82%,100.0%,0.0%,0.837851851452649%,47.541%,47.541%,100.0%,0.0%
21,1.0902469158172607,5,0,0.1,65,1000,10000,1,1,3,480.025,87.83,-392.195,78.6,6903.4,6824.8,1127.0,29961.35,31088.35,0.8363386105951458%,47.692%,47.692%,100.0%,0.0%,0.8363386105951458%,47.692%,47.692%,100.0%,0.0%
22,1.1692636013031006,5,1,0.1,65,1000,10000,1,1,3,480.025,34.796,-445.229,228.2,7940.4,7712.2,1223.0,33279.75,34502.75,0.8517232259797612%,46.154%,46.154%,100.0%,0.0%,0.8209539952105305%,49.231%,49.231%,100.0%,0.0%
23,1.1182529926300049,5,2,0.1,65,1000,10000,1,1,3,480.025,22.656,-457.369,265.2,6008.4,5743.2,1149.0,21348.05,22497.05,0.7901847644412997%,52.308%,52.308%,100.0%,0.0%,0.805569379825915%,50.769%,50.769%,100.0%,0.0%
25,1.1172518730163574,5,4,0.1,65,1000,10000,1,1,3,480.025,24.588,-455.437,241.5,5938.1,5696.6,1183.0,24217.9,25400.9,0.9132616875182228%,40.0%,40.0%,100.0%,0.0%,0.805569379825915%,50.769%,50.769%,100.0%,0.0%
24,1.1392571926116943,5,3,0.1,65,1000,10000,1,1,3,480.025,131.074,-348.951,32.5,4259.9,4227.4,867.0,18542.45,19409.45,0.8209539952105304%,49.231%,49.231%,100.0%,0.0%,0.7286463029028382%,58.462%,58.462%,100.0%,0.0%
26,1.2009656429290771,6,0,0.1,69,1000,10000,1,1,4,526.098,2254.484,1728.386,3.1,6988.9,6985.8,1369.0,28515.45,29884.45,0.8494935715761937%,46.377%,46.377%,100.0%,0.0%,0.7335515425906864%,57.971%,57.971%,100.0%,0.0%
27,1.2113943099975586,6,1,0.1,69,1000,10000,1,1,3,526.098,25.028,-501.07,241.4,6041.8,5800.4,1079.0,26226.25,27305.25,0.8350008179530052%,47.826%,47.826%,100.0%,0.0%,0.7915225570834401%,52.174%,52.174%,100.0%,0.0%
29,0.957080602645874,6,3,0.1,69,1000,10000,1,1,2,526.098,80.643,-445.455,89.1,7185.3,7096.2,1133.0,24051.95,25184.95,0.7625370498370633%,55.072%,55.072%,100.0%,0.0%,0.8639863251993821%,44.928%,44.928%,100.0%,0.0%
