,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,max_size_of_transient_memory
4,2.107473134994507,4,0,5,500,500,500,1,1,25,19816.636,200890.0,181073.364,21230.0,222120.0,200890.0,62500.0,0.0,62500.0,0.8192616875182227%,49.4%,49.4%,100.0%,0.0%,0.8412616875182227%,47.2%,47.2%,100.0%,0.0%,zeros,3.0389367088607595
1,2.155484199523926,1,0,5,500,500,500,1,1,25,19816.636,200890.0,181073.364,21230.0,222120.0,200890.0,62500.0,0.0,62500.0,0.8192616875182227%,49.4%,49.4%,100.0%,0.0%,0.8412616875182227%,47.2%,47.2%,100.0%,0.0%,zeros,0.001
2,2.1584854125976562,2,0,5,500,500,500,1,1,25,19816.636,200890.0,181073.364,21230.0,222120.0,200890.0,62500.0,0.0,62500.0,0.8192616875182227%,49.4%,49.4%,100.0%,0.0%,0.8412616875182227%,47.2%,47.2%,100.0%,0.0%,zeros,1.013645569620253
5,2.1974940299987793,5,0,5,500,500,500,1,1,25,19816.636,200890.0,181073.364,21230.0,222120.0,200890.0,62500.0,0.0,62500.0,0.8192616875182227%,49.4%,49.4%,100.0%,0.0%,0.8412616875182227%,47.2%,47.2%,100.0%,0.0%,zeros,4.051582278481013
3,2.234502077102661,3,0,5,500,500,500,1,1,25,19816.636,200890.0,181073.364,21230.0,222120.0,200890.0,62500.0,0.0,62500.0,0.8192616875182227%,49.4%,49.4%,100.0%,0.0%,0.8412616875182227%,47.2%,47.2%,100.0%,0.0%,zeros,2.0262911392405063
9,35.953081369400024,9,0,5,500,500,500,1,1,False,19816.636,288700.0,268883.364,91120.0,379820.0,288700.0,74950.0,1230000.0,1304950.0,0.5074837469973343%,99.6%,99.595%,99.595%,99.605%,0.7590032889695012%,51.4%,48.571%,50.424%,52.273%,zeros,8.102164556962025
6,36.08611226081848,6,0,5,500,500,500,1,1,False,19816.636,288700.0,268883.364,91120.0,379820.0,288700.0,74950.0,1230000.0,1304950.0,0.5074837469973343%,99.6%,99.595%,99.595%,99.605%,0.7590032889695012%,51.4%,48.571%,50.424%,52.273%,zeros,5.064227848101266
7,36.5752215385437,7,0,5,500,500,500,1,1,False,19816.636,288700.0,268883.364,91120.0,379820.0,288700.0,74950.0,1230000.0,1304950.0,0.5074837469973343%,99.6%,99.595%,99.595%,99.605%,0.7590032889695012%,51.4%,48.571%,50.424%,52.273%,zeros,6.07687341772152
8,37.07333445549011,8,0,5,500,500,500,1,1,False,19816.636,288700.0,268883.364,91120.0,379820.0,288700.0,74950.0,1230000.0,1304950.0,0.5074837469973343%,99.6%,99.595%,99.595%,99.605%,0.7590032889695012%,51.4%,48.571%,50.424%,52.273%,zeros,7.089518987341773
12,36.3461697101593,12,0,5,500,500,500,1,1,False,19816.636,893260.0,873443.364,378885.0,1272145.0,893260.0,84210.0,1285175.0,1369385.0,0.5079642050251675%,99.6%,99.197%,100.0%,99.209%,0.7566458081225833%,52.4%,49.609%,53.814%,51.136%,zeros,11.140101265822784
10,36.38717842102051,10,0,5,500,500,500,1,1,False,19816.636,288700.0,268883.364,91120.0,379820.0,288700.0,74950.0,1230000.0,1304950.0,0.5074837469973343%,99.6%,99.595%,99.595%,99.605%,0.7590032889695012%,51.4%,48.571%,50.424%,52.273%,zeros,9.11481012658228
13,36.44019103050232,13,0,5,500,500,500,1,1,False,19816.636,893260.0,873443.364,378885.0,1272145.0,893260.0,84210.0,1285175.0,1369385.0,0.5079642050251675%,99.6%,99.197%,100.0%,99.209%,0.7566458081225833%,52.4%,49.609%,53.814%,51.136%,zeros,12.152746835443038
14,36.638235569000244,14,0,5,500,500,500,1,1,False,19816.636,893260.0,873443.364,378885.0,1272145.0,893260.0,84210.0,1285175.0,1369385.0,0.5079642050251675%,99.6%,99.197%,100.0%,99.209%,0.7566458081225833%,52.4%,49.609%,53.814%,51.136%,zeros,13.165392405063292
11,37.023321866989136,11,0,5,500,500,500,1,1,False,19816.636,893260.0,873443.364,378885.0,1272145.0,893260.0,84210.0,1285175.0,1369385.0,0.5079642050251675%,99.6%,99.197%,100.0%,99.209%,0.7566458081225833%,52.4%,49.609%,53.814%,51.136%,zeros,10.127455696202531
17,35.18090796470642,17,0,5,500,500,500,1,1,False,19816.636,774470.0,754653.364,297470.0,1071940.0,774470.0,102500.0,1855740.0,1958240.0,0.508723976011251%,99.4%,99.194%,99.595%,99.209%,0.7652826019277515%,50.0%,47.107%,48.305%,51.515%,zeros,16.203329113924053
15,36.11311745643616,15,0,5,500,500,500,1,1,False,19816.636,893260.0,873443.364,378885.0,1272145.0,893260.0,84210.0,1285175.0,1369385.0,0.5079642050251675%,99.6%,99.197%,100.0%,99.209%,0.7566458081225833%,52.4%,49.609%,53.814%,51.136%,zeros,14.178037974683544
16,36.337167501449585,16,0,5,500,500,500,1,1,False,19816.636,774470.0,754653.364,297470.0,1071940.0,774470.0,102500.0,1855740.0,1958240.0,0.508723976011251%,99.4%,99.194%,99.595%,99.209%,0.7652826019277515%,50.0%,47.107%,48.305%,51.515%,zeros,15.190683544303797
18,36.98031187057495,18,0,5,500,500,500,1,1,False,19816.636,774470.0,754653.364,297470.0,1071940.0,774470.0,102500.0,1855740.0,1958240.0,0.508723976011251%,99.4%,99.194%,99.595%,99.209%,0.7652826019277515%,50.0%,47.107%,48.305%,51.515%,zeros,17.215974683544307
21,35.58499884605408,21,0,5,500,500,500,1,1,False,19816.636,1220820.0,1201003.364,814025.0,2034845.0,1220820.0,79500.0,1872045.0,1951545.0,0.5090032889695013%,99.2%,99.592%,98.785%,99.605%,0.7606458081225833%,51.6%,48.828%,52.966%,50.379%,zeros,20.253911392405065
19,36.10211539268494,19,0,5,500,500,500,1,1,False,19816.636,774470.0,754653.364,297470.0,1071940.0,774470.0,102500.0,1855740.0,1958240.0,0.508723976011251%,99.4%,99.194%,99.595%,99.209%,0.7652826019277515%,50.0%,47.107%,48.305%,51.515%,zeros,18.22862025316456
22,36.35417175292969,22,0,5,500,500,500,1,1,False,19816.636,1220820.0,1201003.364,814025.0,2034845.0,1220820.0,79500.0,1872045.0,1951545.0,0.5090032889695013%,99.2%,99.592%,98.785%,99.605%,0.7606458081225833%,51.6%,48.828%,52.966%,50.379%,zeros,21.26655696202532
23,36.489201068878174,23,0,5,500,500,500,1,1,False,19816.636,1220820.0,1201003.364,814025.0,2034845.0,1220820.0,79500.0,1872045.0,1951545.0,0.5090032889695013%,99.2%,99.592%,98.785%,99.605%,0.7606458081225833%,51.6%,48.828%,52.966%,50.379%,zeros,22.27920253164557
20,37.57444524765015,20,0,5,500,500,500,1,1,False,19816.636,774470.0,754653.364,297470.0,1071940.0,774470.0,102500.0,1855740.0,1958240.0,0.508723976011251%,99.4%,99.194%,99.595%,99.209%,0.7652826019277515%,50.0%,47.107%,48.305%,51.515%,zeros,19.24126582278481
24,35.49397826194763,24,0,5,500,500,500,1,1,False,19816.636,1220820.0,1201003.364,814025.0,2034845.0,1220820.0,79500.0,1872045.0,1951545.0,0.5090032889695013%,99.2%,99.592%,98.785%,99.605%,0.7606458081225833%,51.6%,48.828%,52.966%,50.379%,zeros,23.291848101265824
25,35.508981227874756,25,0,5,500,500,500,1,1,False,19816.636,1220820.0,1201003.364,814025.0,2034845.0,1220820.0,79500.0,1872045.0,1951545.0,0.5090032889695013%,99.2%,99.592%,98.785%,99.605%,0.7606458081225833%,51.6%,48.828%,52.966%,50.379%,zeros,24.304493670886078
26,36.57622218132019,26,0,5,500,500,500,1,1,False,19816.636,896550.0,876733.364,498930.0,1395480.0,896550.0,112650.0,2387120.0,2499770.0,0.5119642050251675%,98.8%,98.394%,99.19%,98.419%,0.7527687853034986%,53.8%,50.929%,58.051%,50.0%,zeros,25.317139240506332
28,35.1729052066803,28,0,5,500,500,500,1,1,False,19816.636,896550.0,876733.364,498930.0,1395480.0,896550.0,112650.0,2387120.0,2499770.0,0.5119642050251675%,98.8%,98.394%,99.19%,98.419%,0.7527687853034986%,53.8%,50.929%,58.051%,50.0%,zeros,27.342430379746837
27,36.71425247192383,27,0,5,500,500,500,1,1,False,19816.636,896550.0,876733.364,498930.0,1395480.0,896550.0,112650.0,2387120.0,2499770.0,0.5119642050251675%,98.8%,98.394%,99.19%,98.419%,0.7527687853034986%,53.8%,50.929%,58.051%,50.0%,zeros,26.329784810126586
29,36.65423941612244,29,0,5,500,500,500,1,1,False,19816.636,896550.0,876733.364,498930.0,1395480.0,896550.0,112650.0,2387120.0,2499770.0,0.5119642050251675%,98.8%,98.394%,99.19%,98.419%,0.7527687853034986%,53.8%,50.929%,58.051%,50.0%,zeros,28.35507594936709
30,37.19836139678955,30,0,5,500,500,500,1,1,False,19816.636,896550.0,876733.364,498930.0,1395480.0,896550.0,112650.0,2387120.0,2499770.0,0.5119642050251675%,98.8%,98.394%,99.19%,98.419%,0.7527687853034986%,53.8%,50.929%,58.051%,50.0%,zeros,29.367721518987345
31,36.81527614593506,31,0,5,500,500,500,1,1,False,19816.636,1494730.0,1474913.364,1165905.0,2660635.0,1494730.0,102270.0,2416015.0,2518285.0,0.5152044340390839%,98.2%,97.6%,98.785%,97.628%,0.7638078692478323%,51.4%,48.679%,54.661%,48.485%,zeros,30.380367088607596
32,36.721253871917725,32,0,5,500,500,500,1,1,False,19816.636,1494730.0,1474913.364,1165905.0,2660635.0,1494730.0,102270.0,2416015.0,2518285.0,0.5152044340390839%,98.2%,97.6%,98.785%,97.628%,0.7638078692478323%,51.4%,48.679%,54.661%,48.485%,zeros,31.39301265822785
33,36.47319841384888,33,0,5,500,500,500,1,1,False,19816.636,1494730.0,1474913.364,1165905.0,2660635.0,1494730.0,102270.0,2416015.0,2518285.0,0.5152044340390839%,98.2%,97.6%,98.785%,97.628%,0.7638078692478323%,51.4%,48.679%,54.661%,48.485%,zeros,32.4056582278481
34,36.35817217826843,34,0,5,500,500,500,1,1,False,19816.636,1494730.0,1474913.364,1165905.0,2660635.0,1494730.0,102270.0,2416015.0,2518285.0,0.5152044340390839%,98.2%,97.6%,98.785%,97.628%,0.7638078692478323%,51.4%,48.679%,54.661%,48.485%,zeros,33.418303797468354
35,35.44096660614014,35,0,5,500,500,500,1,1,False,19816.636,1494730.0,1474913.364,1165905.0,2660635.0,1494730.0,102270.0,2416015.0,2518285.0,0.5152044340390839%,98.2%,97.6%,98.785%,97.628%,0.7638078692478323%,51.4%,48.679%,54.661%,48.485%,zeros,34.43094936708861
36,35.47897481918335,36,0,5,500,500,500,1,1,False,19816.636,1007850.0,988033.364,668850.0,1676700.0,1007850.0,116520.0,2860930.0,2977450.0,0.5150032889695012%,98.0%,98.367%,97.571%,98.419%,0.774009014317415%,49.6%,47.037%,53.814%,45.833%,zeros,35.44359493670886
38,36.25114822387695,38,0,5,500,500,500,1,1,False,19816.636,1007850.0,988033.364,668850.0,1676700.0,1007850.0,116520.0,2860930.0,2977450.0,0.5150032889695012%,98.0%,98.367%,97.571%,98.419%,0.774009014317415%,49.6%,47.037%,53.814%,45.833%,zeros,37.468886075949364
37,36.7712664604187,37,0,5,500,500,500,1,1,False,19816.636,1007850.0,988033.364,668850.0,1676700.0,1007850.0,116520.0,2860930.0,2977450.0,0.5150032889695012%,98.0%,98.367%,97.571%,98.419%,0.774009014317415%,49.6%,47.037%,53.814%,45.833%,zeros,36.45624050632912
39,35.894068241119385,39,0,5,500,500,500,1,1,False,19816.636,1007850.0,988033.364,668850.0,1676700.0,1007850.0,116520.0,2860930.0,2977450.0,0.5150032889695012%,98.0%,98.367%,97.571%,98.419%,0.774009014317415%,49.6%,47.037%,53.814%,45.833%,zeros,38.48153164556962
40,36.89929389953613,40,0,5,500,500,500,1,1,False,19816.636,1007850.0,988033.364,668850.0,1676700.0,1007850.0,116520.0,2860930.0,2977450.0,0.5150032889695012%,98.0%,98.367%,97.571%,98.419%,0.774009014317415%,49.6%,47.037%,53.814%,45.833%,zeros,39.49417721518987
41,37.56544375419617,41,0,5,500,500,500,1,1,False,19816.636,1435480.0,1415663.364,1380875.0,2816355.0,1435480.0,131490.0,3190575.0,3322065.0,0.5259642050251675%,96.0%,95.582%,96.356%,95.652%,0.7684894723452482%,50.8%,48.162%,55.508%,46.591%,zeros,40.506822784810126
43,35.76704001426697,43,0,5,500,500,500,1,1,False,19816.636,1435480.0,1415663.364,1380875.0,2816355.0,1435480.0,131490.0,3190575.0,3322065.0,0.5259642050251675%,96.0%,95.582%,96.356%,95.652%,0.7684894723452482%,50.8%,48.162%,55.508%,46.591%,zeros,42.532113924050634
42,36.11611843109131,42,0,5,500,500,500,1,1,False,19816.636,1435480.0,1415663.364,1380875.0,2816355.0,1435480.0,131490.0,3190575.0,3322065.0,0.5259642050251675%,96.0%,95.582%,96.356%,95.652%,0.7684894723452482%,50.8%,48.162%,55.508%,46.591%,zeros,41.51946835443038
44,36.242146730422974,44,0,5,500,500,500,1,1,False,19816.636,1435480.0,1415663.364,1380875.0,2816355.0,1435480.0,131490.0,3190575.0,3322065.0,0.5259642050251675%,96.0%,95.582%,96.356%,95.652%,0.7684894723452482%,50.8%,48.162%,55.508%,46.591%,zeros,43.54475949367089
45,36.192134380340576,45,0,5,500,500,500,1,1,False,19816.636,1435480.0,1415663.364,1380875.0,2816355.0,1435480.0,131490.0,3190575.0,3322065.0,0.5259642050251675%,96.0%,95.582%,96.356%,95.652%,0.7684894723452482%,50.8%,48.162%,55.508%,46.591%,zeros,44.557405063291135
48,35.81705021858215,48,0,5,500,500,500,1,1,False,19816.636,1064070.0,1044253.364,752850.0,1816920.0,1064070.0,117300.0,3431250.0,3548550.0,0.5199642050251675%,97.2%,96.787%,97.571%,96.838%,0.7518078692478323%,53.8%,50.943%,57.203%,50.758%,zeros,47.5953417721519
47,36.77926731109619,47,0,5,500,500,500,1,1,False,19816.636,1064070.0,1044253.364,752850.0,1816920.0,1064070.0,117300.0,3431250.0,3548550.0,0.5199642050251675%,97.2%,96.787%,97.571%,96.838%,0.7518078692478323%,53.8%,50.943%,57.203%,50.758%,zeros,46.58269620253164
46,37.262375831604004,46,0,5,500,500,500,1,1,False,19816.636,1064070.0,1044253.364,752850.0,1816920.0,1064070.0,117300.0,3431250.0,3548550.0,0.5199642050251675%,97.2%,96.787%,97.571%,96.838%,0.7518078692478323%,53.8%,50.943%,57.203%,50.758%,zeros,45.57005063291139
49,37.18935966491699,49,0,5,500,500,500,1,1,False,19816.636,1064070.0,1044253.364,752850.0,1816920.0,1064070.0,117300.0,3431250.0,3548550.0,0.5199642050251675%,97.2%,96.787%,97.571%,96.838%,0.7518078692478323%,53.8%,50.943%,57.203%,50.758%,zeros,48.60798734177215
50,37.322389364242554,50,0,5,500,500,500,1,1,False,19816.636,1064070.0,1044253.364,752850.0,1816920.0,1064070.0,117300.0,3431250.0,3548550.0,0.5199642050251675%,97.2%,96.787%,97.571%,96.838%,0.7518078692478323%,53.8%,50.943%,57.203%,50.758%,zeros,49.620632911392406
51,35.760037660598755,51,0,5,500,500,500,1,1,False,19816.636,1342140.0,1322323.364,1478190.0,2820330.0,1342140.0,138050.0,3685790.0,3823840.0,0.5267239760112509%,95.8%,95.565%,95.951%,95.652%,0.7610480982617488%,52.0%,49.248%,55.508%,48.864%,zeros,50.63327848101266
52,36.04410219192505,52,0,5,500,500,500,1,1,False,19816.636,1342140.0,1322323.364,1478190.0,2820330.0,1342140.0,138050.0,3685790.0,3823840.0,0.5267239760112509%,95.8%,95.565%,95.951%,95.652%,0.7610480982617488%,52.0%,49.248%,55.508%,48.864%,zeros,51.645924050632914
53,35.42196226119995,53,0,5,500,500,500,1,1,False,19816.636,1342140.0,1322323.364,1478190.0,2820330.0,1342140.0,138050.0,3685790.0,3823840.0,0.5267239760112509%,95.8%,95.565%,95.951%,95.652%,0.7610480982617488%,52.0%,49.248%,55.508%,48.864%,zeros,52.65856962025317
54,35.68602108955383,54,0,5,500,500,500,1,1,False,19816.636,1342140.0,1322323.364,1478190.0,2820330.0,1342140.0,138050.0,3685790.0,3823840.0,0.5267239760112509%,95.8%,95.565%,95.951%,95.652%,0.7610480982617488%,52.0%,49.248%,55.508%,48.864%,zeros,53.671215189873415
55,37.23436903953552,55,0,5,500,500,500,1,1,False,19816.636,1342140.0,1322323.364,1478190.0,2820330.0,1342140.0,138050.0,3685790.0,3823840.0,0.5267239760112509%,95.8%,95.565%,95.951%,95.652%,0.7610480982617488%,52.0%,49.248%,55.508%,48.864%,zeros,54.68386075949367
56,37.41340970993042,56,0,5,500,500,500,1,1,False,19816.636,711780.0,691963.364,771980.0,1483760.0,711780.0,97800.0,4386910.0,4484710.0,0.5339642050251675%,94.4%,93.976%,94.737%,94.071%,0.7612492433313316%,52.2%,49.446%,56.78%,48.106%,zeros,55.69650632911392
57,37.401406049728394,57,0,5,500,500,500,1,1,False,19816.636,711780.0,691963.364,771980.0,1483760.0,711780.0,97800.0,4386910.0,4484710.0,0.5339642050251675%,94.4%,93.976%,94.737%,94.071%,0.7612492433313316%,52.2%,49.446%,56.78%,48.106%,zeros,56.70915189873418
58,37.10033845901489,58,0,5,500,500,500,1,1,False,19816.636,711780.0,691963.364,771980.0,1483760.0,711780.0,97800.0,4386910.0,4484710.0,0.5339642050251675%,94.4%,93.976%,94.737%,94.071%,0.7612492433313316%,52.2%,49.446%,56.78%,48.106%,zeros,57.72179746835443
59,37.69447374343872,59,0,5,500,500,500,1,1,False,19816.636,711780.0,691963.364,771980.0,1483760.0,711780.0,97800.0,4386910.0,4484710.0,0.5339642050251675%,94.4%,93.976%,94.737%,94.071%,0.7612492433313316%,52.2%,49.446%,56.78%,48.106%,zeros,58.734443037974685
60,36.1081178188324,60,0,5,500,500,500,1,1,False,19816.636,711780.0,691963.364,771980.0,1483760.0,711780.0,97800.0,4386910.0,4484710.0,0.5339642050251675%,94.4%,93.976%,94.737%,94.071%,0.7612492433313316%,52.2%,49.446%,56.78%,48.106%,zeros,59.74708860759494
63,36.182133197784424,63,0,5,500,500,500,1,1,False,19816.636,920210.0,900393.364,1395340.0,2315550.0,920210.0,118170.0,5228330.0,5346500.0,0.5366458081225832%,94.2%,92.578%,95.951%,92.49%,0.7650480982617489%,51.2%,48.496%,54.661%,48.106%,zeros,62.785025316455695
61,37.264376401901245,61,0,5,500,500,500,1,1,False,19816.636,920210.0,900393.364,1395340.0,2315550.0,920210.0,118170.0,5228330.0,5346500.0,0.5366458081225832%,94.2%,92.578%,95.951%,92.49%,0.7650480982617489%,51.2%,48.496%,54.661%,48.106%,zeros,60.759734177215186
62,37.56444430351257,62,0,5,500,500,500,1,1,False,19816.636,920210.0,900393.364,1395340.0,2315550.0,920210.0,118170.0,5228330.0,5346500.0,0.5366458081225832%,94.2%,92.578%,95.951%,92.49%,0.7650480982617489%,51.2%,48.496%,54.661%,48.106%,zeros,61.77237974683544
64,38.06455612182617,64,0,5,500,500,500,1,1,False,19816.636,920210.0,900393.364,1395340.0,2315550.0,920210.0,118170.0,5228330.0,5346500.0,0.5366458081225832%,94.2%,92.578%,95.951%,92.49%,0.7650480982617489%,51.2%,48.496%,54.661%,48.106%,zeros,63.79767088607595
65,38.08356046676636,65,0,5,500,500,500,1,1,False,19816.636,920210.0,900393.364,1395340.0,2315550.0,920210.0,118170.0,5228330.0,5346500.0,0.5366458081225832%,94.2%,92.578%,95.951%,92.49%,0.7650480982617489%,51.2%,48.496%,54.661%,48.106%,zeros,64.81031645569621
