,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size,number of memory types
5,0.5131161212921143,1,4,1,250,250,1000,1,1,12,7006.239,11070.0,4063.761,0.0,11070.0,5020.0,0.0,92368.0,5020.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.3793773435003555,0.002,3,-0.027091633466135457,2
3,0.5721292495727539,1,2,1,250,250,1000,1,1,13,7006.239,10580.0,3573.761,0.0,10580.0,5522.0,0.0,83332.0,5522.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.3793773435003555,0.002,3,0.013400941687794278,2
8,0.5831336975097656,2,2,1,250,250,1000,1,1,13,7006.239,10580.0,3573.761,0.0,10580.0,5522.0,0.0,83332.0,5522.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.3793773435003555,0.002,3,0.013400941687794278,2
1,0.6631498336791992,1,0,1,250,250,1000,1,1,15,7006.239,11926.0,4919.761,0.0,11926.0,6526.0,0.0,100400.0,6526.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.3793773435003555,0.002,3,-0.009500459699662888,2
6,0.6461458206176758,2,0,1,250,250,1000,1,1,15,7006.239,11926.0,4919.761,0.0,11926.0,6526.0,0.0,100400.0,6526.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.3793773435003555,0.002,3,-0.009500459699662888,2
4,0.745168924331665,1,3,1,250,250,1000,1,1,17,7006.239,13462.0,6455.761,0.0,13462.0,7530.0,0.0,107679.0,7530.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.3793773435003555,0.002,3,-0.017795484727755644,2
9,0.7401673793792725,2,3,1,250,250,1000,1,1,17,7006.239,13462.0,6455.761,0.0,13462.0,7530.0,0.0,107679.0,7530.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.3793773435003555,0.002,3,-0.017795484727755644,2
2,0.8241860866546631,1,1,1,250,250,1000,1,1,19,7006.239,14972.0,7965.761,0.0,14972.0,8534.0,0.0,116715.0,8534.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.001,1,0.3793773435003555,0.002,3,0.03445043355987813,2
7,0.8221859931945801,2,1,1,250,250,1000,1,1,19,7006.239,14972.0,7965.761,0.0,14972.0,8534.0,0.0,116715.0,8534.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.3793773435003555,0.002,3,0.03445043355987813,2
10,0.5111157894134521,2,4,1,250,250,1000,1,1,12,7006.239,11070.0,4063.761,0.0,11070.0,5020.0,0.0,92368.0,5020.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.4050303030303031,1,0.3793773435003555,0.002,3,-0.027091633466135457,2
