,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
3,0.29706788063049316,2,1,0.5,200,200,1000,1,1,11,5013.257,5492.36,479.103,0.0,5492.36,3661.28,1009.18,4670.46,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,2.1052631578947367,1,0.10602853043154843,0.02,3,0.04490000009536743
7,0.33907604217529297,4,1,0.5,200,200,1000,1,1,12,5013.257,6027.347,1014.09,0.0,6027.347,4454.542,2197.425,6651.967,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,6.315789473684211,1,0.10602853043154843,0.02,3,0.07090657271560365
9,0.36008119583129883,5,1,0.5,200,200,1000,1,1,12,5013.257,6698.26,1685.003,0.0,6698.26,4143.144,3707.159,7850.303,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,8.421052631578947,1,0.10602853043154843,0.02,3,0.09368039008069269
1,0.41309261322021484,1,1,0.5,200,200,1000,1,1,14,5013.257,4214.0,-799.257,0.0,4214.0,2400.0,0.0,2400.0,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,0.0,1,0.10602853043154843,0.02,3,0.013333333333333334
5,0.4230947494506836,3,1,0.5,200,200,1000,1,1,14,5013.257,6639.679,1626.422,0.0,6639.679,4588.87,1856.66,6445.53,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,4.2105263157894735,1,0.10602853043154843,0.02,3,0.030491729087084675
8,0.4410989284515381,4,2,0.5,200,200,1000,1,1,15,5013.257,9021.775,4008.518,0.0,9021.775,6424.149,3472.978,9897.127,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,6.315789473684211,1,0.10602853043154843,0.02,3,-0.027449799103927607
4,0.4631040096282959,2,2,0.5,200,200,1000,1,1,16,5013.257,6887.956,1874.699,0.0,6887.956,4505.547,1537.293,6042.84,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,2.1052631578947367,1,0.10602853043154843,0.02,3,-0.0027381538027249847
2,0.7301642894744873,1,2,0.5,200,200,1000,1,1,24,5013.257,6465.0,1451.743,0.0,6465.0,4400.0,0.0,4400.0,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,0.0,1,0.10602853043154843,0.02,3,0.006363636363636364
6,0.7201619148254395,3,2,0.5,200,200,1000,1,1,24,5013.257,10514.051,5500.794,0.0,10514.051,6966.109,3806.999,10773.108,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,4.2105263157894735,1,0.10602853043154843,0.02,3,-0.01098640005809225
13,0.2890651226043701,7,1,0.5,200,200,1000,1,1,9,5013.257,4704.918,-308.339,0.0,4704.918,2700.951,2770.636,5471.587,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,12.631578947368421,1,0.10602853043154843,0.02,3,0.27409471926652806
