,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
6,0.2250514030456543,1,6,0.5,100,100,5000,1,1,12,1772.454,1366.0,-406.454,0.0,1366.0,250.0,0.0,250.0,0.6931471805599453%,48.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.016
7,0.24805617332458496,1,7,0.5,100,100,5000,1,1,13,1772.454,1587.0,-185.454,0.0,1587.0,275.0,0.0,275.0,0.6931471805599453%,42.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.005454545454545455
3,0.2690608501434326,1,3,0.5,100,100,5000,1,1,14,1772.454,1657.0,-115.454,0.0,1657.0,300.0,0.0,300.0,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.0033333333333333335
4,0.2580583095550537,1,4,0.5,100,100,5000,1,1,14,1772.454,1660.0,-112.454,0.0,1660.0,300.0,0.0,300.0,0.6931471805599453%,52.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.018333333333333333
5,0.2600584030151367,1,5,0.5,100,100,5000,1,1,14,1772.454,1819.0,46.546,0.0,1819.0,300.0,0.0,300.0,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.009166666666666667
2,0.2780630588531494,1,2,0.5,100,100,5000,1,1,15,1772.454,1724.0,-48.454,0.0,1724.0,325.0,0.0,325.0,0.6931471805599453%,46.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.033846153846153845
1,0.29706692695617676,1,1,0.5,100,100,5000,1,1,16,1772.454,1956.0,183.546,0.0,1956.0,350.0,0.0,350.0,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,42.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.010714285714285714
8,0.2670602798461914,1,8,0.5,100,100,5000,1,1,15,1772.454,1745.0,-27.454,0.0,1745.0,325.0,0.0,325.0,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.008461538461538461
9,0.27706265449523926,1,9,0.5,100,100,5000,1,1,15,1772.454,1534.0,-238.454,0.0,1534.0,325.0,0.0,325.0,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,38.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.011538461538461539
10,0.1890430450439453,1,10,0.5,100,100,5000,1,1,11,1772.454,1278.0,-494.454,0.0,1278.0,225.0,0.0,225.0,0.6931471805599453%,52.0%,0%,0.0%,100.0%,0.6931471805599453%,58.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.025555555555555557
13,0.176039457321167,1,13,0.5,100,100,5000,1,1,10,1772.454,1244.0,-528.454,0.0,1244.0,200.0,0.0,200.0,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.0125
11,0.21504831314086914,1,11,0.5,100,100,5000,1,1,13,1772.454,1438.0,-334.454,0.0,1438.0,275.0,0.0,275.0,0.6931471805599453%,54.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.015454545454545455
12,0.2540574073791504,1,12,0.5,100,100,5000,1,1,15,1772.454,1807.0,34.546,0.0,1807.0,325.0,0.0,325.0,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.007692307692307693
15,0.2510566711425781,1,15,0.5,100,100,5000,1,1,15,1772.454,1761.0,-11.454,0.0,1761.0,325.0,0.0,325.0,0.6931471805599453%,48.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.0007692307692307692
14,0.2600588798522949,1,14,0.5,100,100,5000,1,1,16,1772.454,1775.0,2.546,0.0,1775.0,350.0,0.0,350.0,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.009285714285714286
16,0.274061918258667,1,16,0.5,100,100,5000,1,1,17,1772.454,1833.0,60.546,0.0,1833.0,375.0,0.0,375.0,0.6931471805599453%,59.0%,0%,0.0%,100.0%,0.6931471805599453%,58.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.036
17,0.27506113052368164,1,17,0.5,100,100,5000,1,1,17,1772.454,1866.0,93.546,0.0,1866.0,375.0,0.0,375.0,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,53.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.02
18,0.31707191467285156,1,18,0.5,100,100,5000,1,1,20,1772.454,1913.0,140.546,0.0,1913.0,450.0,0.0,450.0,0.6931471805599453%,39.0%,0%,0.0%,100.0%,0.6931471805599453%,53.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.0033333333333333335
19,0.20004487037658691,1,19,0.5,100,100,5000,1,1,12,1772.454,1356.0,-416.454,0.0,1356.0,250.0,0.0,250.0,0.6931471805599453%,46.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.021
20,0.19704461097717285,1,20,0.5,100,100,5000,1,1,12,1772.454,1582.0,-190.454,0.0,1582.0,250.0,0.0,250.0,0.6931471805599453%,36.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.027
22,0.13302969932556152,1,22,0.5,100,100,5000,1,1,7,1772.454,1015.0,-757.454,0.0,1015.0,125.0,0.0,125.0,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.04
21,0.18804264068603516,1,21,0.5,100,100,5000,1,1,11,1772.454,1319.0,-453.454,0.0,1319.0,225.0,0.0,225.0,0.6931471805599453%,62.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.008888888888888889
26,0.16203594207763672,1,26,0.5,100,100,5000,1,1,9,1772.454,1248.0,-524.454,0.0,1248.0,175.0,0.0,175.0,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.04
23,0.21104788780212402,1,23,0.5,100,100,5000,1,1,12,1772.454,1493.0,-279.454,0.0,1493.0,250.0,0.0,250.0,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.005
24,0.22605204582214355,1,24,0.5,100,100,5000,1,1,13,1772.454,1646.0,-126.454,0.0,1646.0,275.0,0.0,275.0,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.005454545454545455
25,0.24205422401428223,1,25,0.5,100,100,5000,1,1,15,1772.454,1517.0,-255.454,0.0,1517.0,325.0,0.0,325.0,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,45.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.003076923076923077
28,0.17704010009765625,1,28,0.5,100,100,5000,1,1,10,1772.454,1230.0,-542.454,0.0,1230.0,200.0,0.0,200.0,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.00875
29,0.17403888702392578,1,29,0.5,100,100,5000,1,1,9,1772.454,1179.0,-593.454,0.0,1179.0,175.0,0.0,175.0,0.6931471805599453%,44.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.02
30,0.17403960227966309,1,30,0.5,100,100,5000,1,1,10,1772.454,1255.0,-517.454,0.0,1255.0,200.0,0.0,200.0,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,60.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.005
27,0.23305225372314453,1,27,0.5,100,100,5000,1,1,14,1772.454,1619.0,-153.454,0.0,1619.0,300.0,0.0,300.0,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.030833333333333334
31,0.20804691314697266,1,31,0.5,100,100,5000,1,1,12,1772.454,1416.0,-356.454,0.0,1416.0,250.0,0.0,250.0,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.011
33,0.21004724502563477,1,33,0.5,100,100,5000,1,1,11,1772.454,1282.0,-490.454,0.0,1282.0,225.0,0.0,225.0,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,43.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.03222222222222222
32,0.24405503273010254,1,32,0.5,100,100,5000,1,1,15,1772.454,1792.0,19.546,0.0,1792.0,325.0,0.0,325.0,0.6931471805599453%,42.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.02076923076923077
36,0.18304228782653809,1,36,0.5,100,100,5000,1,1,10,1772.454,1341.0,-431.454,0.0,1341.0,200.0,0.0,200.0,0.6931471805599453%,62.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.0375
35,0.22605061531066895,1,35,0.5,100,100,5000,1,1,13,1772.454,1651.0,-121.454,0.0,1651.0,275.0,0.0,275.0,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.03
38,0.1780409812927246,1,38,0.5,100,100,5000,1,1,9,1772.454,1174.0,-598.454,0.0,1174.0,175.0,0.0,175.0,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.02
34,0.2870650291442871,1,34,0.5,100,100,5000,1,1,17,1772.454,2063.0,290.546,0.0,2063.0,375.0,0.0,375.0,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,-0.04666666666666667
41,0.15003442764282227,1,41,0.5,100,100,5000,1,1,8,1772.454,1086.0,-686.454,0.0,1086.0,150.0,0.0,150.0,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,45.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.4851485148514851,0.002,3,0.025
