,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory
1,0.49311089515686035,1,1,0.5,200,200,5000,1,1,14,5013.257,4214.0,-799.257,0.0,4214.0,600.0,0.0,600.0,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
8,0.47510719299316406,1,8,0.5,200,200,5000,1,1,14,5013.257,4973.0,-40.257,0.0,4973.0,600.0,0.0,600.0,0.6931471805599452%,53.5%,0%,0.0%,100.0%,0.6931471805599452%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
3,0.5081140995025635,1,3,0.5,200,200,5000,1,1,14,5013.257,5047.0,33.743,0.0,5047.0,600.0,0.0,600.0,0.6931471805599452%,55.5%,0%,0.0%,100.0%,0.6931471805599452%,53.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
6,0.54012131690979,1,6,0.5,200,200,5000,1,1,15,5013.257,5034.0,20.743,0.0,5034.0,650.0,0.0,650.0,0.6931471805599452%,48.5%,0%,0.0%,100.0%,0.6931471805599452%,50.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
9,0.612138032913208,1,9,0.5,200,200,5000,1,1,17,5013.257,5413.0,399.743,0.0,5413.0,750.0,0.0,750.0,0.6931471805599452%,48.0%,0%,0.0%,100.0%,0.6931471805599452%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
4,0.629141092300415,1,4,0.5,200,200,5000,1,1,18,5013.257,5796.0,782.743,0.0,5796.0,800.0,0.0,800.0,0.6931471805599452%,49.5%,0%,0.0%,100.0%,0.6931471805599452%,44.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
7,0.6301417350769043,1,7,0.5,200,200,5000,1,1,18,5013.257,5188.0,174.743,0.0,5188.0,800.0,0.0,800.0,0.6931471805599452%,50.5%,0%,0.0%,100.0%,0.6931471805599452%,46.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
2,0.8161838054656982,1,2,0.5,200,200,5000,1,1,24,5013.257,6465.0,1451.743,0.0,6465.0,1100.0,0.0,1100.0,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
5,0.8651952743530273,1,5,0.5,200,200,5000,1,1,25,5013.257,7405.0,2391.743,0.0,7405.0,1150.0,0.0,1150.0,0.6931471805599452%,48.5%,0%,0.0%,100.0%,0.6931471805599452%,46.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
11,0.6181390285491943,1,11,0.5,200,200,5000,1,1,18,5013.257,4979.0,-34.257,0.0,4979.0,800.0,0.0,800.0,0.6931471805599452%,51.5%,0%,0.0%,100.0%,0.6931471805599452%,54.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
15,0.47710680961608887,1,15,0.5,200,200,5000,1,1,14,5013.257,4559.0,-454.257,0.0,4559.0,600.0,0.0,600.0,0.6931471805599452%,47.5%,0%,0.0%,100.0%,0.6931471805599452%,49.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
12,0.6221399307250977,1,12,0.5,200,200,5000,1,1,18,5013.257,5043.0,29.743,0.0,5043.0,800.0,0.0,800.0,0.6931471805599452%,51.0%,0%,0.0%,100.0%,0.6931471805599452%,47.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
13,0.6871540546417236,1,13,0.5,200,200,5000,1,1,20,5013.257,5880.0,866.743,0.0,5880.0,900.0,0.0,900.0,0.6931471805599452%,52.5%,0%,0.0%,100.0%,0.6931471805599452%,48.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
18,0.4100947380065918,1,18,0.5,200,200,5000,1,1,12,5013.257,3677.0,-1336.257,0.0,3677.0,500.0,0.0,500.0,0.6931471805599452%,46.0%,0%,0.0%,100.0%,0.6931471805599452%,46.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
16,0.6431469917297363,1,16,0.5,200,200,5000,1,1,19,5013.257,5875.0,861.743,0.0,5875.0,850.0,0.0,850.0,0.6931471805599452%,41.0%,0%,0.0%,100.0%,0.6931471805599452%,45.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
10,0.8251855373382568,1,10,0.5,200,200,5000,1,1,25,5013.257,7075.0,2061.743,0.0,7075.0,1150.0,0.0,1150.0,0.6931471805599452%,52.5%,0%,0.0%,100.0%,0.6931471805599452%,55.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
14,0.7681729793548584,1,14,0.5,200,200,5000,1,1,24,5013.257,5885.0,871.743,0.0,5885.0,1100.0,0.0,1100.0,0.6931471805599452%,48.5%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
17,0.6441442966461182,1,17,0.5,200,200,5000,1,1,20,5013.257,5609.0,595.743,0.0,5609.0,900.0,0.0,900.0,0.6931471805599452%,43.0%,0%,0.0%,100.0%,0.6931471805599452%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
19,0.46610474586486816,1,19,0.5,200,200,5000,1,1,14,5013.257,4094.0,-919.257,0.0,4094.0,600.0,0.0,600.0,0.6931471805599452%,44.5%,0%,0.0%,100.0%,0.6931471805599452%,50.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
20,0.6171395778656006,1,20,0.5,200,200,5000,1,1,19,5013.257,5071.0,57.743,0.0,5071.0,850.0,0.0,850.0,0.6931471805599452%,47.0%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
24,0.5031125545501709,1,24,0.5,200,200,5000,1,1,15,5013.257,4479.0,-534.257,0.0,4479.0,650.0,0.0,650.0,0.6931471805599452%,50.0%,0%,0.0%,100.0%,0.6931471805599452%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
21,0.66214919090271,1,21,0.5,200,200,5000,1,1,20,5013.257,5542.0,528.743,0.0,5542.0,900.0,0.0,900.0,0.6931471805599452%,53.5%,0%,0.0%,100.0%,0.6931471805599452%,50.0%,0%,0.0%,100.0%,zeros,local-global,0.0,0.1,1.0569233833221128,0.002
