,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
1,0.560276985168457,1,0,2,250,250,1000,1,1,15,7006.239,23852.0,16845.761,0.0,23852.0,13052.0,0.0,200800.0,13052.0,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.019000919399325775
5,0.5064492225646973,1,4,2,250,250,1000,1,1,12,7006.239,22140.0,15133.761,0.0,22140.0,10040.0,0.0,184736.0,10040.0,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.054183266932270914
3,0.5374541282653809,1,2,2,250,250,1000,1,1,13,7006.239,21160.0,14153.761,0.0,21160.0,11044.0,0.0,166664.0,11044.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.026801883375588555
7,0.6598167419433594,1,6,2,250,250,1000,1,1,16,7006.239,24928.0,17921.761,0.0,24928.0,14056.0,0.0,188250.0,14056.0,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.00910643141718839
4,0.7058260440826416,1,3,2,250,250,1000,1,1,17,7006.239,26924.0,19917.761,0.0,26924.0,15060.0,0.0,215358.0,15060.0,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.03559096945551129
8,0.7118277549743652,1,7,2,250,250,1000,1,1,18,7006.239,27928.0,20921.761,0.0,27928.0,16064.0,0.0,219374.0,16064.0,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,46.8%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.018924302788844622
2,0.773916482925415,1,1,2,250,250,1000,1,1,19,7006.239,29944.0,22937.761,0.0,29944.0,17068.0,0.0,233430.0,17068.0,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,0.06890086711975626
9,0.884371280670166,1,8,2,250,250,1000,1,1,22,7006.239,35920.0,28913.761,0.0,35920.0,20080.0,0.0,301200.0,20080.0,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,45.6%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.11633466135458168
10,0.5650908946990967,1,9,2,250,250,1000,1,1,14,7006.239,24424.0,17417.761,0.0,24424.0,12048.0,0.0,189756.0,12048.0,0.6931471805599454%,54.0%,0%,0.0%,100.0%,0.6931471805599454%,58.0%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.01195219123505976
12,0.657649040222168,1,11,2,250,250,1000,1,1,16,7006.239,26760.0,19753.761,0.0,26760.0,14056.0,0.0,214856.0,14056.0,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,0.001,1,1.517509374001422,0.002,3,-0.00910643141718839
