,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
8,0.3630809783935547,2,0,0.2,250,250,1000,1,1,9,7006.239,1883.081,-5123.158,343.6,2226.681,1883.081,78.68,34.84,113.52,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
2,0.4891083240509033,1,1,0.2,250,250,1000,1,1,12,7006.239,2085.6,-4920.639,299.6,2385.2,2085.6,55.64,0.0,55.64,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.001,0.1
4,0.5041134357452393,1,3,0.2,250,250,1000,1,1,13,7006.239,1950.4,-5055.839,307.2,2257.6,1950.4,65.56,0.0,65.56,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,0.001,0.1
7,0.5151164531707764,1,6,0.2,250,250,1000,1,1,13,7006.239,1918.0,-5088.239,290.0,2208.0,1918.0,66.16,0.0,66.16,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.001,0.1
1,0.5621263980865479,1,0,0.2,250,250,1000,1,1,15,7006.239,1988.8,-5017.439,301.2,2290.0,1988.8,76.6,0.0,76.6,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.001,0.1
3,0.5281174182891846,1,2,0.2,250,250,1000,1,1,14,7006.239,1704.8,-5301.439,298.0,2002.8,1704.8,60.32,0.0,60.32,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.001,0.1
5,0.6731522083282471,1,4,0.2,250,250,1000,1,1,18,7006.239,2285.2,-4721.039,316.8,2602.0,2285.2,90.32,0.0,90.32,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,0.001,0.1
6,0.6951565742492676,1,5,0.2,250,250,1000,1,1,18,7006.239,2840.8,-4165.439,290.0,3130.8,2840.8,91.52,0.0,91.52,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.001,0.1
10,0.44209933280944824,2,2,0.2,250,250,1000,1,1,11,7006.239,1993.819,-5012.42,325.2,2319.019,1993.819,88.64,49.61,138.25,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
9,0.8031811714172363,2,1,0.2,250,250,1000,1,1,22,7006.239,3823.54,-3182.699,336.4,4159.94,3823.54,185.371,82.731,268.102,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
15,0.39708876609802246,3,0,0.2,250,250,1000,1,1,10,7006.239,2279.365,-4726.874,345.2,2624.565,2279.365,105.44,61.571,167.011,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
13,0.5641269683837891,2,5,0.2,250,250,1000,1,1,15,7006.239,3046.96,-3959.279,329.6,3376.56,3046.96,131.859,39.28,171.139,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
12,0.6671497821807861,2,4,0.2,250,250,1000,1,1,18,7006.239,3118.366,-3887.873,359.2,3477.566,3118.366,156.543,59.56,216.103,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
14,0.6861546039581299,2,6,0.2,250,250,1000,1,1,19,7006.239,3285.263,-3720.976,332.4,3617.663,3285.263,158.369,72.89,231.259,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
17,0.5151157379150391,3,2,0.2,250,250,1000,1,1,13,7006.239,2471.552,-4534.687,392.8,2864.352,2471.552,131.796,86.311,218.107,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
11,0.7581710815429688,2,3,0.2,250,250,1000,1,1,20,7006.239,3540.914,-3465.325,312.0,3852.914,3540.914,173.88,73.93,247.81,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
16,0.590132474899292,3,1,0.2,250,250,1000,1,1,16,7006.239,3384.509,-3621.73,359.2,3743.709,3384.509,164.833,106.226,271.059,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
18,0.45710253715515137,3,3,0.2,250,250,1000,1,1,12,7006.239,2637.493,-4368.746,386.4,3023.893,2637.493,131.08,59.519,190.599,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
19,0.5341200828552246,3,4,0.2,250,250,1000,1,1,14,7006.239,2620.127,-4386.112,380.0,3000.127,2620.127,131.36,69.416,200.776,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
22,0.44810056686401367,4,0,0.2,250,250,1000,1,1,13,7006.239,2777.518,-4228.721,343.6,3121.118,2777.518,135.416,93.251,228.667,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
24,0.4230947494506836,4,2,0.2,250,250,1000,1,1,12,7006.239,2449.326,-4556.913,395.2,2844.526,2449.326,168.14,73.275,241.415,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
25,0.4701058864593506,4,3,0.2,250,250,1000,1,1,12,7006.239,2895.941,-4110.298,386.8,3282.741,2895.941,155.727,81.474,237.201,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
23,0.5451228618621826,4,1,0.2,250,250,1000,1,1,15,7006.239,3601.865,-3404.374,376.8,3978.665,3601.865,205.248,103.93,309.178,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
21,0.7101600170135498,3,6,0.2,250,250,1000,1,1,19,7006.239,3514.336,-3491.903,354.8,3869.136,3514.336,175.284,102.348,277.632,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
20,0.949213981628418,3,5,0.2,250,250,1000,1,1,27,7006.239,5593.556,-1412.683,347.6,5941.156,5593.556,300.623,150.171,450.794,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
26,0.6231400966644287,4,4,0.2,250,250,1000,1,1,16,7006.239,3460.29,-3545.949,397.6,3857.89,3460.29,206.418,107.495,313.913,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
28,0.5801305770874023,4,6,0.2,250,250,1000,1,1,15,7006.239,3276.979,-3729.26,352.8,3629.779,3276.979,178.556,111.418,289.974,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
30,0.4390995502471924,5,1,0.2,250,250,1000,1,1,11,7006.239,2676.277,-4329.962,351.2,3027.477,2676.277,139.705,104.501,244.206,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,1.6171212121212122,0.1
31,0.42009472846984863,5,2,0.2,250,250,1000,1,1,10,7006.239,2053.473,-4952.766,424.0,2477.473,2053.473,148.978,87.478,236.456,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,1.6171212121212122,0.1
