,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
1,1.069239854812622,1,0,0.8,400,400,3000,1,1,16,14179.631,17089.6,2909.969,2435.2,19524.8,17089.6,518.88,0.0,518.88,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,0.7857616875182228%,52.75%,52.75%,100.0%,0.0%,zeros,local-global,0.001,0.1
5,1.1972694396972656,1,4,0.8,400,400,3000,1,1,18,14179.631,18214.4,4034.769,2404.8,20619.2,18214.4,590.56,0.0,590.56,0.7782616875182228%,53.5%,53.5%,100.0%,0.0%,0.8182616875182228%,49.5%,49.5%,100.0%,0.0%,zeros,local-global,0.001,0.1
9,1.2542824745178223,1,8,0.8,400,400,3000,1,1,18,14179.631,20552.0,6372.369,2316.8,22868.8,20552.0,543.2,0.0,543.2,0.8107616875182228%,50.25%,50.25%,100.0%,0.0%,0.8082616875182228%,50.5%,50.5%,100.0%,0.0%,zeros,local-global,0.001,0.1
2,1.2852888107299805,1,1,0.8,400,400,3000,1,1,20,14179.631,23668.8,9489.169,2436.8,26105.6,23668.8,620.8,0.0,620.8,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,zeros,local-global,0.001,0.1
3,1.3463034629821777,1,2,0.8,400,400,3000,1,1,19,14179.631,19486.4,5306.769,2393.6,21880.0,19486.4,599.52,0.0,599.52,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,zeros,local-global,0.001,0.1
7,1.351304292678833,1,6,0.8,400,400,3000,1,1,20,14179.631,20937.6,6757.969,2352.0,23289.6,20937.6,642.4,0.0,642.4,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,0.8032616875182228%,51.0%,51.0%,100.0%,0.0%,zeros,local-global,0.001,0.1
4,1.4353222846984863,1,3,0.8,400,400,3000,1,1,22,14179.631,24227.2,10047.569,2352.0,26579.2,24227.2,711.84,0.0,711.84,0.7807616875182228%,53.25%,53.25%,100.0%,0.0%,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,zeros,local-global,0.001,0.1
6,1.6113629341125488,1,5,0.8,400,400,3000,1,1,24,14179.631,24020.8,9841.169,2259.2,26280.0,24020.8,695.2,0.0,695.2,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7957616875182228%,51.75%,51.75%,100.0%,0.0%,zeros,local-global,0.001,0.1
8,1.5993595123291016,1,7,0.8,400,400,3000,1,1,25,14179.631,25915.2,11735.569,2331.2,28246.4,25915.2,794.08,0.0,794.08,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,zeros,local-global,0.001,0.1
11,1.0722413063049316,2,0,0.8,400,400,3000,1,1,16,14179.631,17089.6,2909.969,2435.2,19524.8,17089.6,518.88,0.0,518.88,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,0.7857616875182228%,52.75%,52.75%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
13,1.2562830448150635,2,2,0.8,400,400,3000,1,1,19,14179.631,19486.4,5306.769,2393.6,21880.0,19486.4,599.52,0.0,599.52,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
15,1.275287389755249,2,4,0.8,400,400,3000,1,1,18,14179.631,18214.4,4034.769,2404.8,20619.2,18214.4,590.56,0.0,590.56,0.7782616875182228%,53.5%,53.5%,100.0%,0.0%,0.8182616875182228%,49.5%,49.5%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
