,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
4,0.36208176612854004,2,0,0.2,250,250,1000,1,1,9,7006.239,1883.081,-5123.158,343.6,2226.681,1883.081,78.68,34.84,113.52,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
7,0.4070916175842285,3,0,0.2,250,250,1000,1,1,10,7006.239,2279.365,-4726.874,345.2,2624.565,2279.365,105.44,61.571,167.011,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
6,0.4521019458770752,2,2,0.2,250,250,1000,1,1,11,7006.239,1993.819,-5012.42,325.2,2319.019,1993.819,88.64,49.61,138.25,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
2,0.48911023139953613,1,1,0.2,250,250,1000,1,1,12,7006.239,2085.6,-4920.639,299.6,2385.2,2085.6,55.64,0.0,55.64,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.001,0.1
9,0.5041134357452393,3,2,0.2,250,250,1000,1,1,13,7006.239,2471.552,-4534.687,392.8,2864.352,2471.552,131.796,86.311,218.107,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
3,0.5521252155303955,1,2,0.2,250,250,1000,1,1,14,7006.239,1704.8,-5301.439,298.0,2002.8,1704.8,60.32,0.0,60.32,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,0.001,0.1
1,0.5901327133178711,1,0,0.2,250,250,1000,1,1,15,7006.239,1988.8,-5017.439,301.2,2290.0,1988.8,76.6,0.0,76.6,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,0.001,0.1
8,0.5741293430328369,3,1,0.2,250,250,1000,1,1,16,7006.239,3384.509,-3621.73,359.2,3743.709,3384.509,164.833,106.226,271.059,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.8090606060606061,0.1
5,0.8031809329986572,2,1,0.2,250,250,1000,1,1,22,7006.239,3823.54,-3182.699,336.4,4159.94,3823.54,185.371,82.731,268.102,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,0.4050303030303031,0.1
10,0.4781074523925781,4,0,0.2,250,250,1000,1,1,13,7006.239,2777.518,-4228.721,343.6,3121.118,2777.518,135.416,93.251,228.667,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
12,0.4591033458709717,4,2,0.2,250,250,1000,1,1,12,7006.239,2449.326,-4556.913,395.2,2844.526,2449.326,168.14,73.275,241.415,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
15,0.39708948135375977,5,2,0.2,250,250,1000,1,1,10,7006.239,2053.473,-4952.766,424.0,2477.473,2053.473,148.978,87.478,236.456,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,1.6171212121212122,0.1
14,0.42409586906433105,5,1,0.2,250,250,1000,1,1,11,7006.239,2676.277,-4329.962,351.2,3027.477,2676.277,139.705,104.501,244.206,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,1.6171212121212122,0.1
16,0.40008997917175293,6,0,0.2,250,250,1000,1,1,10,7006.239,2639.251,-4366.988,301.2,2940.451,2639.251,162.128,92.464,254.592,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,2.0211515151515154,0.1
11,0.5671274662017822,4,1,0.2,250,250,1000,1,1,15,7006.239,3601.865,-3404.374,376.8,3978.665,3601.865,205.248,103.93,309.178,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,1.213090909090909,0.1
17,0.4791092872619629,6,1,0.2,250,250,1000,1,1,12,7006.239,3012.254,-3993.985,337.6,3349.854,3012.254,190.487,97.877,288.364,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,2.0211515151515154,0.1
13,0.6921558380126953,5,0,0.2,250,250,1000,1,1,20,7006.239,3889.436,-3116.803,301.2,4190.636,3889.436,232.671,166.162,398.833,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,1.6171212121212122,0.1
18,0.3990895748138428,6,2,0.2,250,250,1000,1,1,10,7006.239,2511.011,-4495.228,426.4,2937.411,2511.011,162.887,118.326,281.213,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,2.0211515151515154,0.1
19,0.4090921878814697,7,0,0.2,250,250,1000,1,1,10,7006.239,2619.485,-4386.754,376.8,2996.285,2619.485,150.843,141.082,291.925,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,2.425181818181818,0.1
22,0.4100925922393799,8,0,0.2,250,250,1000,1,1,10,7006.239,2699.961,-4306.278,456.4,3156.361,2699.961,155.51,176.123,331.633,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,2.8292121212121213,0.1
21,0.5571253299713135,7,2,0.2,250,250,1000,1,1,14,7006.239,2734.179,-4272.06,418.8,3152.979,2734.179,164.421,178.296,342.717,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,2.425181818181818,0.1
24,0.5941338539123535,8,2,0.2,250,250,1000,1,1,15,7006.239,2660.107,-4346.132,468.4,3128.507,2660.107,135.709,249.138,384.847,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,2.8292121212121213,0.1
23,0.6991569995880127,8,1,0.2,250,250,1000,1,1,18,7006.239,3846.153,-3160.086,406.8,4252.953,3846.153,228.514,244.636,473.15,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,2.8292121212121213,0.1
28,0.4230942726135254,10,0,0.2,250,250,1000,1,1,10,7006.239,2491.946,-4514.293,498.0,2989.946,2491.946,156.541,191.125,347.666,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,3.6372727272727277,0.1
25,0.6971571445465088,9,0,0.2,250,250,1000,1,1,17,7006.239,3435.881,-3570.358,343.6,3779.481,3435.881,198.203,263.291,461.494,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,3.2332424242424245,0.1
20,0.8962018489837646,7,1,0.2,250,250,1000,1,1,23,7006.239,4349.933,-2656.306,355.6,4705.533,4349.933,222.327,304.082,526.409,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,2.425181818181818,0.1
27,0.6791529655456543,9,2,0.2,250,250,1000,1,1,17,7006.239,3095.141,-3911.098,483.6,3578.741,3095.141,164.673,294.877,459.55,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,3.2332424242424245,0.1
26,0.8121829032897949,9,1,0.2,250,250,1000,1,1,20,7006.239,3760.715,-3245.524,436.4,4197.115,3760.715,199.613,288.491,488.104,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,3.2332424242424245,0.1
31,0.4180941581726074,11,0,0.2,250,250,1000,1,1,10,7006.239,2418.718,-4587.521,398.4,2817.118,2418.718,145.937,183.083,329.02,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,4.041303030303031,0.1
30,0.49311113357543945,10,2,0.2,250,250,1000,1,1,12,7006.239,2618.257,-4387.982,505.6,3123.857,2618.257,151.219,254.538,405.757,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,3.6372727272727277,0.1
29,0.7921783924102783,10,1,0.2,250,250,1000,1,1,21,7006.239,3888.271,-3117.968,404.0,4292.271,3888.271,200.228,358.898,559.126,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,3.6372727272727277,0.1
33,0.48010826110839844,11,2,0.2,250,250,1000,1,1,12,7006.239,2684.669,-4321.57,518.4,3203.069,2684.669,158.152,232.289,390.441,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,4.041303030303031,0.1
34,0.40209078788757324,12,0,0.2,250,250,1000,1,1,10,7006.239,2448.61,-4557.629,506.0,2954.61,2448.61,144.257,237.944,382.201,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,4.445333333333334,0.1
36,0.38808751106262207,12,2,0.2,250,250,1000,1,1,10,7006.239,1569.047,-5437.192,420.8,1989.847,1569.047,59.906,312.211,372.117,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,4.445333333333334,0.1
32,0.6051361560821533,11,1,0.2,250,250,1000,1,1,16,7006.239,3400.891,-3605.348,527.6,3928.491,3400.891,180.358,328.005,508.363,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,4.041303030303031,0.1
35,0.5041131973266602,12,1,0.2,250,250,1000,1,1,13,7006.239,2769.517,-4236.722,512.0,3281.517,2769.517,126.401,317.29,443.691,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,4.445333333333334,0.1
37,0.40209054946899414,13,0,0.2,250,250,1000,1,1,10,7006.239,2647.493,-4358.746,505.2,3152.693,2647.493,164.804,218.506,383.31,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,4.849363636363637,0.1
38,0.48810911178588867,13,1,0.2,250,250,1000,1,1,13,7006.239,3506.662,-3499.577,299.6,3806.262,3506.662,176.176,300.97,477.146,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,4.849363636363637,0.1
39,0.49711179733276367,13,2,0.2,250,250,1000,1,1,13,7006.239,2869.502,-4136.737,298.0,3167.502,2869.502,129.822,294.856,424.678,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,4.849363636363637,0.1
42,0.47510671615600586,14,2,0.2,250,250,1000,1,1,12,7006.239,2292.797,-4713.442,298.0,2590.797,2292.797,72.062,382.25,454.312,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,5.25339393939394,0.1
43,0.39308834075927734,15,0,0.2,250,250,1000,1,1,10,7006.239,2849.247,-4156.992,301.2,3150.447,2849.247,165.615,194.929,360.544,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,5.657424242424243,0.1
