,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
1,0.030007123947143555,1,0,0.1,0,200,1000,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-local,1,0.1
2,0.023004770278930664,1,1,0.1,0,200,1000,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-local,1,0.1
3,0.0200042724609375,1,2,0.1,0,200,1000,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-local,1,0.1
4,0.031006336212158203,2,0,0.1,0,200,1000,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-local,1,0.1
8,0.023005008697509766,3,1,0.1,1,200,1000,1,1,0,0.888,0.0,-0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.3132616875182228%,100.0%,100.0%,100.0%,0%,0.3132616875182228%,100.0%,100.0%,100.0%,0%,zeros,local-local,1,0.1
7,0.027005910873413086,3,0,0.1,1,200,1000,1,1,1,0.888,0.0,-0.888,20.0,20.0,0.0,0.0,6.0,6.0,1.3132616875182228%,0.0%,0.0%,0%,0.0%,1.3132616875182228%,0.0%,0.0%,0%,0.0%,zeros,local-local,1,0.1
6,0.023005008697509766,2,2,0.1,0,200,1000,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-local,1,0.1
5,0.04200887680053711,2,1,0.1,0,200,1000,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-local,1,0.1
9,0.02500629425048828,3,2,0.1,1,200,1000,1,1,0,0.888,0.0,-0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.3132616875182228%,100.0%,100.0%,100.0%,0%,0.3132616875182228%,100.0%,100.0%,100.0%,0%,zeros,local-local,1,0.1
10,0.023006200790405273,4,0,0.1,2,200,1000,1,1,2,2.519,18.2,15.681,20.0,38.2,18.2,0.0,7.46,7.46,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,zeros,local-local,1,0.1
13,0.024005651473999023,5,0,0.1,3,200,1000,1,1,0,4.64,0.0,-4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.3132616875182228%,100.0%,100.0%,100.0%,0%,0.3132616875182228%,100.0%,100.0%,100.0%,0%,zeros,local-local,1,0.1
11,0.026006221771240234,4,1,0.1,2,200,1000,1,1,1,2.519,0.0,-2.519,20.0,20.0,0.0,0.0,6.0,6.0,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.3132616875182228%,100.0%,100.0%,100.0%,0%,zeros,local-local,1,0.1
12,0.027005672454833984,4,2,0.1,2,200,1000,1,1,1,2.519,0.0,-2.519,20.0,20.0,0.0,0.0,6.0,6.0,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.3132616875182228%,100.0%,100.0%,100.0%,0%,zeros,local-local,1,0.1
14,0.02600407600402832,5,1,0.1,3,200,1000,1,1,1,4.64,0.0,-4.64,20.0,20.0,0.0,0.0,6.0,6.0,0.9799283541848895%,33.333%,33.333%,100.0%,0.0%,0.6465950208515562%,66.667%,66.667%,100.0%,0.0%,zeros,local-local,1,0.1
15,0.023005962371826172,5,2,0.1,3,200,1000,1,1,1,4.64,0.0,-4.64,28.2,28.2,0.0,0.0,8.46,8.46,1.3132616875182228%,0.0%,0.0%,0%,0.0%,0.6465950208515562%,66.667%,66.667%,100.0%,0.0%,zeros,local-local,1,0.1
17,0.023005247116088867,6,1,0.1,4,200,1000,1,1,2,7.161,30.0,22.839,19.8,49.8,30.0,0.0,10.92,10.92,0.5632616875182228%,75.0%,75.0%,100.0%,0.0%,0.5632616875182228%,75.0%,75.0%,100.0%,0.0%,zeros,local-local,1,0.1
16,0.02500629425048828,6,0,0.1,4,200,1000,1,1,2,7.161,30.0,22.839,19.8,49.8,30.0,0.0,10.8,10.8,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,zeros,local-local,1,0.1
