,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (plus before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
1,0.019004344940185547,1,1,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
2,0.020004749298095703,1,2,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
4,0.027005434036254883,1,4,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
7,0.02100372314453125,1,7,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
5,0.028005599975585938,1,5,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
9,0.01800370216369629,1,9,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
6,0.029005765914916992,1,6,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
3,0.03400731086730957,1,3,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
8,0.03000617027282715,1,8,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
10,0.021005630493164062,2,1,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
11,0.028004884719848633,2,2,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
14,0.03000617027282715,2,5,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
16,0.028005123138427734,2,7,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
12,0.028005599975585938,2,3,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
15,0.031008005142211914,2,6,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
18,0.029006242752075195,2,9,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
17,0.021004915237426758,2,8,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
20,0.023005008697509766,3,2,0.1,1,200,1000,1,1,3,0.888,40.0,39.112,0.0,40.0,40.0,0.0,0.0,40.0,0.6931471805599453%,0.0%,0%,0.0%,0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,0.0010000000000000007
19,0.02400493621826172,3,1,0.1,1,200,1000,1,1,3,0.888,40.0,39.112,0.0,40.0,40.0,0.0,0.0,40.0,0.6931471805599453%,0.0%,0%,0.0%,0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,0.004
13,0.04100799560546875,2,4,0.1,0,200,1000,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan%,0%,0%,0%,0%,nan%,0%,0%,0%,0%,zeros,local-global,optimal,1,0.0,0.002,3,nan
22,0.024005889892578125,3,4,0.1,1,200,1000,1,1,3,0.888,40.0,39.112,0.0,40.0,40.0,0.0,0.0,40.0,0.6931471805599453%,0.0%,0%,0.0%,0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,0.004
21,0.024005889892578125,3,3,0.1,1,200,1000,1,1,3,0.888,40.0,39.112,0.0,40.0,40.0,0.0,0.0,40.0,0.6931471805599453%,0.0%,0%,0.0%,0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,0.002999999999999999
23,0.025005578994750977,3,5,0.1,1,200,1000,1,1,2,0.888,0.0,-0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453%,100.0%,0%,0%,100.0%,0.6931471805599453%,100.0%,0%,0%,100.0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,nan
24,0.023005247116088867,3,6,0.1,1,200,1000,1,1,3,0.888,40.0,39.112,0.0,40.0,40.0,0.0,0.0,40.0,0.6931471805599453%,0.0%,0%,0.0%,0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,0.0019999999999999996
26,0.019003629684448242,3,8,0.1,1,200,1000,1,1,2,0.888,0.0,-0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453%,100.0%,0%,0%,100.0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,nan
27,0.025002717971801758,3,9,0.1,1,200,1000,1,1,2,0.888,0.0,-0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453%,100.0%,0%,0%,100.0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,nan
28,0.02400350570678711,4,1,0.1,2,200,1000,1,1,3,2.519,40.0,37.481,0.0,40.0,40.0,0.0,0.0,40.0,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.017676883040293752,0.002,3,0.0009999999999999996
30,0.024005413055419922,4,3,0.1,2,200,1000,1,1,3,2.519,40.0,37.481,0.0,40.0,40.0,0.0,0.0,40.0,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,100.0%,0%,0%,100.0%,zeros,local-global,optimal,1,0.017676883040293752,0.002,3,-0.002
25,0.026004314422607422,3,7,0.1,1,200,1000,1,1,2,0.888,0.0,-0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453%,100.0%,0%,0%,100.0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.01204813228849253,0.002,3,nan
29,0.03100728988647461,4,2,0.1,2,200,1000,1,1,3,2.519,40.0,37.481,0.0,40.0,40.0,0.0,0.0,40.0,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,0.0%,0%,0.0%,0%,zeros,local-global,optimal,1,0.017676883040293752,0.002,3,0.008
